function name,learning rate,momentum,lmabda,Uses grad(),mini batch size,epochs,iterations,mse
sgdm_rms_ridge,0.01,N/A,0.01,True,15,51,5,0.011932294004287126
sgdm_rms_ridge,0.01,N/A,0.05,True,15,36,1,0.012023061119432996
sgdm_rms_ridge,0.01,N/A,0.1,True,15,51,5,0.012800304247262303
sgdm_rms_ridge,0.01,N/A,0.5,True,15,51,5,0.02904533532596781
sgdm_rms_ols,0.1,N/A,N/A,True,15,51,5,0.005843715394253048
sgdm_rms_ridge,0.1,N/A,0.01,True,15,51,5,0.008672141275840978
sgdm_rms_ridge,0.1,N/A,0.05,True,15,51,5,0.01227680704675558
sgdm_rms_ridge,0.1,N/A,0.1,True,15,51,5,0.009456228340375423
sgdm_rms_ridge,0.1,N/A,0.5,True,15,51,5,0.033693085581411694
sgdm_rms_ols,0.2,N/A,N/A,True,15,51,5,0.012605510961788031
sgdm_rms_ridge,0.2,N/A,0.01,True,15,51,5,0.00680285879541199
sgdm_rms_ridge,0.2,N/A,0.05,True,15,51,5,0.021779361649500707
sgdm_rms_ridge,0.2,N/A,0.1,True,15,51,5,0.015676460294079802
sgdm_rms_ridge,0.2,N/A,0.5,True,15,51,5,0.03188002640093312
sgdm_rms_ols,0.5,N/A,N/A,True,15,51,5,0.014653990287845123
sgdm_rms_ridge,0.5,N/A,0.01,True,15,51,5,0.01919294148920404
sgdm_rms_ridge,0.5,N/A,0.05,True,15,51,5,0.018135418424767753
sgdm_rms_ridge,0.5,N/A,0.1,True,15,39,3,0.021981734577952942
sgdm_rms_ridge,0.5,N/A,0.5,True,15,51,5,0.054373898077710925
sgdm_rms_ols,0.01,N/A,N/A,True,15,33,3,0.009722110475329011
sgdm_rms_ridge,0.01,N/A,0.01,True,15,24,3,0.006533167392405073
sgdm_rms_ridge,0.01,N/A,0.05,True,15,45,2,0.01196097775598002
sgdm_rms_ridge,0.01,N/A,0.1,True,15,51,5,0.013811989908559483
sgdm_rms_ridge,0.01,N/A,0.5,True,15,24,3,0.030422850261347324
sgdm_rms_ols,0.1,N/A,N/A,True,15,51,5,0.008481306462587606
sgdm_rms_ridge,0.1,N/A,0.01,True,15,51,5,0.011343769161532137
sgdm_rms_ridge,0.1,N/A,0.05,True,15,51,5,0.010631902098397674
sgdm_rms_ridge,0.1,N/A,0.1,True,15,51,5,0.01995356327764497
sgdm_rms_ridge,0.1,N/A,0.5,True,15,51,5,0.029012401103540867
sgdm_rms_ols,0.2,N/A,N/A,True,15,51,5,0.01310686153979655
sgdm_rms_ridge,0.2,N/A,0.01,True,15,51,5,0.011376333241316374
sgdm_rms_ridge,0.2,N/A,0.05,True,15,51,5,0.008586751246764758
sgdm_rms_ridge,0.2,N/A,0.1,True,15,51,5,0.016539181315701045
sgdm_rms_ridge,0.2,N/A,0.5,True,15,51,5,0.03778842979712648
sgdm_rms_ols,0.5,N/A,N/A,True,15,51,5,0.04414141776305947
sgdm_rms_ridge,0.5,N/A,0.01,True,15,51,5,0.030725948823317594
sgdm_rms_ridge,0.5,N/A,0.05,True,15,51,5,0.01918138360801417
